원본,라벨,독어_역번역
안녕?? 오랜만이다 그치? 나 기억나? 아 너 중학교때. 맞지? 아!! 맞아 그런데 왜 전화했어? 아 다른게 아니라 내가 사실 사기를 당해서. 부탁할 친구도 없더라고. 그러나 너가 생각났어. 아. 어. 정말 미안한데 돈 100만원만 빌릴 수 있을까? 응.? 그. 100만원이 적은 돈도 아니구. 미안 아 그럼 50만원이라두. 내가 정말 급해서 그래. 꼭꼭 값을께. 아. 정말 미안.,갈취 대화,"안녕?? 꽤 시간이 지났지, 그렇지? 나를 기억하나요? 아, 중학교 때였지. 오른쪽? 음!! 그렇죠, 그런데 왜 나한테 전화했어요? 아, 다른 건 아니고 사실 사기를 당했어요. 물어볼 친구도 없었어요. 하지만 난 당신에 대해 생각하고 있었어요. 음. 음. 정말 죄송한데 100만원만 빌려주실 수 있나요? 뭐.? 그만큼. 100만원은 작은 돈이 아닙니다. 죄송합니다. 그러면 50만원입니다. 내가 정말 서두르기 때문이다. 나는 반드시 그 대가를 지불할 것이다. 음. 정말 죄송해요."
가진거 다 내놔!! 이런 미친 누구야!! 당장 안내 놓으면 이걸로 죽여버린다 하.씨. 여기. 현금. 휴대폰 내려놔 뒤지기 싫으면! 여기요. 좋은 말 할때 가진거 다 내놔라 살려주세요여기 제 카드랑. 저금통이랑 행동 똑바로해 목따버린다 진짜 살려만 주세요. 다 드릴게요,갈취 대화,"당신이 가진 모든 것을 나에게주십시오 !! 누가 이렇게 미쳤어!! Wenn Sie mir sofort Bescheid geben, werde ich Sie damit umbringen, Herr Ha. 여기. 점검. Legen Sie Ihr Telefon weg, wenn Sie es nicht durchsehen m?chten! 여기. Wenn du nette Dinge sagst, gib mir alles, was du hast. 저를 구해주세요. 여기 내 카드가 있습니다. Wenn du Gut mit deinem Sparschwein umgehst, schneide ich dir die Kehle durch. 제발 저를 구해주세요. 나는 당신에게 모든 것을 준다"
보미씨 혹시 이번주말에 시간있어? 저요!? 혹시 무슨일.때문에. 보시다시피 내가 패션에 영 센스가 없잖아. 같이 쇼핑좀 해줄수 있지? 아.저 이번주말에 좀 바쁠것 같아요. 보미씨 남자친구도 없잖아 주말에 무슨 약속있어? 네. 약속있어요. 나 이번에 출장가는데. 마땅한 정장이 없어서 그래. 혹시 승진하기 싫은거 아니지? 상사님 쇼핑과 승진이 무슨 관계죠? 아이고 보미씨. 사회생활 안해봤나? 이게 무슨말인지 이해를 못하나? 상사님.아무리 생각해도 이건 너무 무례한 부탁인거 같네요. 죄송합니다.,직장 내 괴롭힘 대화,"보미 씨, 이번 주말에 시간 있어요? 나!? 무슨 일이 일어날 수도 있으니까요. 보시다시피 저는 패션 감각이 없어요. 우리 같이 쇼핑하러 갈 수 있나요? 아, 이번 주말에는 좀 바쁠 것 같아요. 보미야 너 남자친구 없어? 주말에 계획 있어요? 예. 약속이 있어요. 이번에 출장을 가는데요. 왜냐면 제대로 된 정장이 없거든요. 승진하고 싶지 않은 건 아닐까? 사장님, 쇼핑이 판촉과 무슨 연관이 있나요? 맙소사, 보미씨. 사회생활을 해본 적이 없나요? 그게 무슨 뜻인지 이해 못하시나요? 사장. 아무리 생각해도 이것은 매우 무례한 요청이라고 생각합니다. 실례합니다."
저기 내가 차비가 없어 네? 그래서 그런데 너 돈 얼마있어? 이거 오늘 학원끝나고 저녁 사먹을 돈인데요. 응 그렇지? 너는 밥이 문제인데 나는 돈이 없어서 집에를 못가네? 그건. 그쪽 사정인데. 이런 척박한 사회에서 좀 돕고 살면 좋지 않아?? 저는 이 돈 없으면 저녁 못먹는데. 집에가서 먹으면 되잖아 갑갑아 좀 줘봐 맞고 줄래 그냥 줄래? 여기요.,갈취 대화,"야, 나 차 살 돈 없어, 알았지? 그럼 당신은 돈이 얼마나 있나요? 이것은 오늘 방과 후에 저녁을 살 돈입니다. 응 그렇지? 음식 문제가 있는데 돈이 없어서 집에 못 간다고요? 그만큼. 이것이 당신의 상황입니다. 이 가혹한 사회를 살아가는 사람들을 돕는 것이 좋지 않을까요? 이 돈이 없으면 저녁을 먹을 수가 없어요. 집에 오면 먹을 수 있어요. 너무 답답해요. 나에게 주세요. 나한테 줄래? 그냥 나한테 줄래? 여기."
어이 거기 너 돈 좀 있어? 아. 아니요. 거기 잠깐 멈춰. 네.? 얼른 수작부리지 말고 내놓는게 좋을거다. 진짜 저 없어요 한대 맞을래? 아니면 순순히 줄래? 와. 이거 완전 깡패네. 내가 누군지 알아? 유도 1단이다 임마. 억. 죄송합니다. 팔 좀 놔주세요 니 있는 돈이나 여기 다 털어놔. 형님. 저 돈 없는데요 이런 쓰레기가 있나.,갈취 대화,"저기, 거기 돈 좀 있어요? 음. 아니요. 잠시 거기에서 멈춰라. 예.? 당황하지 않고 신속하게 전달하는 것이 좋습니다. 정말 하나도 없어요. 나를 때리고 싶니? 아니면 순종적으로 주실 건가요? 그리고. 이것은 완전히 말도 안되는 소리입니다. 내가 누군지 아세요? 1위 단 유도, 친구. 1억. 실례합니다. 내 팔을 놓아주세요. 여기에 모든 돈을 투자하세요. 형. 나는 돈이 없습니다. 이런 쓰레기가 존재하나요?"
애들아 내일 내 생일파티하는데 놀러와 근데 한테는 비밀이야 나 걔 엄마 없어서 싫거든 응 알겠어 내일 우리 엄마가 피자 만들어주신대 우와 맛있겠다! 내가 스티커북 챙겨갈게! 그래 다른 애들도 데리고와 아 그래야 겠다 내가 민지랑 다정이한테도 말해서 데리고 갈게 응응 그래 뭐야? 내일 어디 놀러가?나도갈래 별거 아니야 너는 몰라도 돼 쟤 눈치도 없다 뭘 끼려고 하지?,기타 괴롭힘 대화,"안녕하세요 Kinder님, habe morgen meine Geburtstagsfeier님. Besuchen Sie mich, aber es ist ein Geheimnis vor mir. 나는 그의 어머니를 좋아하지 않습니다. 네, 이해합니다. 내일 엄마가 피자를 만드실 거예요. 와, 맛있어 보이네요! 스티커북 가져올게요! 좋아요, 다른 아이들도 데려오세요. 아, 그렇게 할게요. Ich werde es Minji und Dajung sagen und sie mitbringen. 응, 알았어, 그래서 어쩌지? 내일은 어디에서 놀러 갈 예정인가요? 나도 갈게. 그것은 큰 문제가 아니다. 당신은 알 필요가 없습니다. 그는 심지어 눈치 채지도 못합니다. 무엇을 하려고 하시나요?"
지혜야 그 틴트 뭐야? 이쁘다. 어.이거? 아빠가 선물로 사주셨어. 그래? 발색 진짜 이쁘네. 나 한번만 발라봐도 돼? 응? 미안. 나 화장품 같이 쓰는 거 별로 안좋아해서. 뭐? 너 지금 내가 더럽다는 거야? 어이없네 아니. 그게 아니라. 참나 달라는 것도 아니고 발라본다는 건데. 내놔 어.여기. 헐 색 진짜 이쁘네. 지혜야 나 이거 두달만 빌려간다. 뭐? 이건 진짜 안돼. 너 저번에도 내 틴트 빌려가놓고 아직까지 안돌려줬잖아. 아 화나게 하지 말라고. 돌려준다니까? 또 쳐맞고 싶냐? 미안.그럼 꼭 돌려줘야해.,갈취 대화,"지혜야, 이건 무슨 색이야? 예쁜. 어, 그거요? 아버지께서 저에게 선물로 사주셨어요. 좋아요? 색감이 정말 예쁘네요. 한 번만 사용할 수 있나요? 사실이 아니지? 실례합니다. 나는 화장품을 공유하는 것을 별로 좋아하지 않는다. 무엇? 그 말은 내가 지금 더러워졌다는 뜻인가요? 말도 안 돼요. 아니요. 그게 아닙니다. 요구한다는 것이 아니라 적용한다는 뜻입니다. 여기로 주세요. 와, 색깔 정말 예쁘네요. 지혜 씨, 이거 두 달만 빌리겠습니다. 무엇? 이건 정말 작동하지 않습니다. 지난번에 틴트를 빌려주셨는데 아직도 돌려주지 않으셨어요. 아, 화나게 하지 마세요. 돌려주는 거야? 또 맞고 싶나요? 실례합니다. 그럼 다시 보내야겠네요."
야 시발 왜 혼자 공부하냐 해야되니까? 하면 뭐 될거같냐 니새끼보다는 나을듯 미쳤냐? 해봤자 중위권이면서 개나대네 그 중위권도 못하는 병신이 말을하네 말하는 꼬라지 봐라. 맞고 싶냐? 교육 못 받은 친구들한테는 이렇게 말하게 되네 뒤질래? 끝나고 옥상으로 와라 내가 왜 신아,기타 괴롭힘 대화,야 시발 왜 혼자 공부하냐 해야되니까? 하면 뭐 될거같냐 니새끼보다는 나을듯 미쳤냐? 해봤자 중위권이면서 개나대네 그 중위권도 못하는 병신이 말을하네 말하는 꼬라지 봐라. 맞고 싶냐? 교육 못 받은 친구들한테는 이렇게 말하게 되네 뒤질래? 끝나고 옥상으로 와라 내가 왜 신아
그거 사줘 안사주면 죽어버릴거야 이러지마 돈없어 나한테 해준게 뭐있어!!! 이것밖에 없어 제발 이러지마 진짜 죽는꼴 보고 싶어? 그런말 하는거 아니야 내가 거짓말하는것 같아? 나죽고 당신도 죽일거야 다 태워버릴거야!!! 정신차려 언제까지 이럴거야 죽기싫음 돈 벌어와 사주라고!!! 알겠어 노력해볼게,협박 대화,"나한테 이걸 사줘. 안 사면 나 죽는다 그러지 마세요. 나는 돈이 없습니다. 나한테 무슨 짓을 한 거야!!! 그게 내가 가진 전부입니다. 그러지 마세요. 정말 내가 죽는 걸 보고 싶나요? 내가 말하는 것은 그게 아니다. 내가 거짓말을 하고 있다고 생각하시나요? 죽여버리겠어 죽여버리겠어 다 불태워버리겠어!!! 정신 차리세요, 언제까지 계속 될까요? 나는 죽고 싶지 않아요. 돈 벌어서 나한테 사줘!!! 알았어, 한번 해볼게."
저기요 왜 단팥빵 하나가 안오는 거죠? 저희가 단팥빵 안보내드렸나요? 네. 안보내드렸어요. 심지어 소보로빵도 2개 시켰는데 1개만 왔어요. 잠시만요. 주문 확인하겠습니다. 혹시 주문번호가 어떻게 되시나요? 71번이요 네. 확인했습니다. 고객님. 죄송합니다. 저희는 맞게 보냈는데 배달하는 과정에서 오류가 있었나 봅니다. 그렇죠 배달하는 과정에서 오류가 있던거죠? 근데 일을 왜 이딴식으로 밖에 못해요? 네. 죄송합니다. 제발 교육 좀 똑바로 받아요. 수준 떨어지게. 네 죄송합니다.,기타 괴롭힘 대화,"야, 팥빵은 왜 없어? 우리가 팥빵 안 줬어요? 예. 나는 그것을 당신에게주지 않았습니다. 소보로빵도 2개 주문했는데 하나만 왔어요. 잠깐 기다려요. 주문을 확인해 드리겠습니다. 주문 번호는 무엇입니까? 71번, 그렇죠. 확인되었습니다. 아저씨. 실례합니다. 정상적으로 배송되었으나 배송중 오류가 있었던 것 같습니다. 그렇죠 배송중 오류가 있었죠? 그런데 왜 나는 그런 일을 할 수 없는 걸까? 예. 실례합니다. 적절한 교육을 받아보시기 바랍니다. 레벨을 낮추세요. 네, 죄송합니다."
저 오늘 몸이 안좋아 조퇴를. 조퇴를 한다고? 니는 회사만 나오면 몸이 갑자기 아프나 아뇨. 어제부터 안좋았는데. 니 어제 뭐했는데? 몸이 안좋아서 집 가서 잤어요. 그걸 내가 어찌 믿노? 니가 술퍼먹고 아프다고 구라까는지 내가 어찌아는데? .저 술 안마시는 거 아시잖아요. 내는 모르지. 니가 구라를 치는지 조퇴하고 가서 술퍼마실지 누가아노? 저한테 도대체 왜 그러세요. 내가 뭘 어쨌다꼬? 웃기는 아네,직장 내 괴롭힘 대화,"오늘은 몸이 안 좋아서 일찍 퇴근합니다. 일찍 떠나는 거야? 퇴근할 때 갑자기 몸이 아프신가요? 아니요. 어제부터 상태가 안 좋았어요. 어제 무엇을 했나요? 몸이 안 좋아서 집에 가서 잤어요. 내가 어떻게 그것을 믿을 수 있습니까? 당신이 술을 너무 많이 마시고 아프다고 말하는 것을 어떻게 알 수 있나요? .나 술 안 마시는 거 알잖아. 모르겠습니다. 소란을 피울지, 일찍 퇴근하고 술 한잔 하러 갈지 누가 알겠는가? 도대체 나한테 왜 이러는 걸까요? 내가 무슨 짓을 한 거지? 재미있다"
제대로 대답 못할 때마다 네 동생 손가락 하나 이거 풀어줘! 말대꾸 하면 발가락 하나씩 날아간다 내 동생은 죄가 없잖아 왜 없어 너같은 핏줄을 둔 죄가 있지 말할게! 아니 내가 널 쉽게 믿을 수 없지 자 어느 손가락부터 건드려볼까 제발 그만해! 그러게 진작 불지 그랬니,협박 대화,"정답을 맞히지 못할 때마다 형의 손가락 중 하나를 풀어주세요! 뭐라고 대답하면 발가락이 하나씩 날아간다. 내 남동생은 죄가 없습니다. 왜 안 돼? 그 사람도 너 같은 피를 흘린 죄가 있다는 걸 말해줄게! 아니, 난 당신을 그렇게 쉽게 믿을 수가 없어요. 어느 손가락을 먼저 만져야 할까요? 그만하세요! 오래 전부터 이렇게 불기 시작했어야 하지 않았나요?"
어이 김대리 예 이부장님 오늘 하라고 했던 서류 정리 다 끝냈어? 아.그게 아직까지 마무리가 다 안됐습니다 야 지금 시간이 몇신데 그걸 아직까지도 다 못하고 있어? 일처리를 뭐 어떻게 하는거야 곧있으면 퇴근시간인데 뭐 어쩔려고 그래? 죄송합니다.야근해서라도 마무리 하겠습니다. 그래? 오늘 야근할라고? 그럼 저기 내 책상위에 보이는 서류들도 마저 들고 가서 정리해서 내일까지 나한테 다시 줘 저 부장님.아무래도 저것까지 하기는 좀 벅찰것같습니다. 벅차? 아.뭐 회사일이 그렇게 힘들면 쉬어야지 평생 쉬고 내일부터 그냥 나오지마 아닙니다 내일까지 다 해서 드리겠습니다.,직장 내 괴롭힘 대화,"안녕하세요, 김과장, 이과장님, 오늘 저에게 시키신 서류 정리는 잘 되셨나요? 아, 아직 끝나지 않았어요. 안녕하세요, 지금 몇 시야? 아직 끝나지 않았나요? 일은 어떻게 처리할 것인가? 이제 곧 하루라고 부를 시간이 왔습니다. 당신은 무엇을 할 예정입니까? 죄송합니다. 야근을 하게 되더라도 끝까지 마치겠습니다. 좋아요? 오늘 초과근무할 거야? 그럼 제 책상에 있는 서류를 모두 가져가서 정리해서 내일까지 저에게 돌려주세요, 매니저님. 그것마저도 좀 힘들 것 같아요. 압도적? 음. 글쎄, 직장에서 일하는 것이 너무 피곤하다면 휴식을 취해야 합니다. 평생 쉴 수 있습니다. 내일 그냥 나오지 마세요. 아니요, 내일까지 다 할게요."
어이. 정성을 다해 모시겠습니다. 사랑합니다 고객님. 무엇을 도와드릴까요? 아니. 시발 니네 회사에서 산 물건이 이게 말이 돼? 사자마자 부숴지잖아. 아. 그러셨군요 고객님. 그러면 어떻게 도와드리면 될까요? 환불을 원하시나요? 지금 장난해? 방법은 니가 찾아와야지 왜 나한테 물어봐? 너 돈 받고 일하는거 아니야? 윗 사람 불러와. 짤리고싶지 아주? 죄송합니다 고객님. 그럼 제가 환불 절차 도와드리겠습니다. 구매하신 카드 번호 알려주시겠습니까? 환불이 문제가 아니라 내가 받은 정신적 피해까지 보상해줘야겠는데? 너네 때문에 내가 얼마나 피해를 봤는지 알아? 죄송합니다 고객님.,갈취 대화,"여기요. 정성을 다해 서비스해드리겠습니다. 사랑해요, 고객님. 어떻게 도와드릴까요? 아니요. 당신이 회사에서 물건을 구매하는 경우에도 그것이 의미가 있습니까? 사자마자 깨집니다. 음. 그렇죠, 선생님. 그럼 어떻게 도와드릴까요? 환불을 원하시나요? 농담하는 거야? 길을 찾아야 합니다. 왜 나한테 묻는 거야? 당신은 돈을 위해 일하지 않습니까? 상사에게 전화하십시오. 너 정말 해고당하고 싶구나, 그렇지? 죄송합니다, 고객님. 그러면 환불 절차를 도와드리겠습니다. 구매 시 사용한 카드 번호를 알려주실 수 있나요? 환불을 받는 것이 아니라, 제가 받은 정신적 피해도 배상해야 할까요? 너 때문에 내가 얼마나 피해를 입었는지 알아? 죄송합니다, 고객님."
내가 꽤 대단한 걸 알고 있거든. 그게 무슨 말이야? 너와 한채아의 사진. 그걸 네가 어떻게.!!!?? 이걸 기자들한테 뿌리면 어떻게 될까? 무슨 말도 안 되는!!! 내놔!! 어허 나한테 이러면 안 될텐데? 하. 원하는 게 뭐야? 오백만원만 보내줘. 오 오백? 왜 못 보내겠냐? 그럼 이건 뿌리고 자 잠시만!!! 줄게 주면 되잖아!!,갈취 대화,"나는 내가 꽤 굉장하다는 것을 안다. 그게 무슨 뜻이에요? 한채아님과 함께 찍은 사진입니다. 어떻게 그럴 수가 있지?!!!?? 이것을 기자들에게 뿌리면 어떻게 될까요? 무슨 말도 안돼 !!! 나에게 줘!! 어허, 나한테 이러면 안 되는 거 맞지? 아래에. 당신은 무엇을 원하세요? 500만원을 보내주세요. 아 500? 왜 보낼 수 없나요? 그럼 이것을 뿌리고 이제 잠깐만 기다리세요!!! 저한테 주시면 됩니다!!"
와 너처럼 생기면 어떤 기분으로 살아? 진짜 불쌍하다. 넌 꼭 나중에 성형해. 알겠지? . 조언해줘서 고마워. 우리니까 조언해주는 거야 . 진짜 못생긴 얼굴 치워라. 다행이야. 요즘 마스크 쓰고 다녀서 넌 좀 좋겠다? 와 개인정 마스크가 너 살렸다 진짜 푸하하하 너 얼굴도 존나 크니까 큰 마스크 사면 더 비싸? 아니야. 인정 더 비쌀듯 후 모자도 꼭 쓰고 다니길 바랄게.,기타 괴롭힘 대화,"와, 당신처럼 산다면 어떤 기분일까요? 정말 한심해요. 나중에 꼭 성형수술을 하셔야 합니다. 좋아요? . 조언해주셔서 감사합니다. 우리는 당신에게 조언을 해주는 사람들입니다. 정말 못생긴 얼굴 좀 치워주세요. 하느님 감사합니다. 요즘 마스크 쓰기가 더 편해졌나요? 와, 그 개인 마스크가 당신의 생명을 구했습니다. 정말 하하. 얼굴이 존나 크네 그럼 큰 마스크를 사면 더 비싸나요? 아니요. 물론 가격이 더 비싼 것 같으니 모자도 꼭 써보시길 바랍니다."
김대리 요즘 누가 회사에서 벨트를 안해? 맞아요. 박팀장님처럼 벨트 딱 하면 얼마나 깔끔해 보여요. 팀장님 제가 요즘 살이 쪄서요. 지금 말대꾸 하시는 겁니까? 아니요. 죄송합니다. 살이야 빼면 되고 아무리 복장이 자유라지만 최소한 깔끔하게 입어야 하지 않을까? 죄송합니다. 김대리 요즘 옷처럼 일도 깔끔하지 못하던데 정신 좀 차리세요. 죄송합니다. 요즘 정신을 어떠 두는지. 후임들 보기 부끄럽지도 않아요? 죄송합니다.,직장 내 괴롭힘 대화,"김 대리 : 요즘 벨트 안 차고 출근하는 사람이 있나요? 맞습니다. 박팀장처럼 벨트를 착용하면 얼마나 시크한지. 팀장님, 요즘 살이 쪘어요. 지금 반성하는 겁니까? 아니요. 실례합니다. 살만 빼면 되고, 자유롭게 옷을 입을 수 있다고 해도 옷은 제대로 입어야 하지 않겠습니까? 실례합니다. 김과장님, 요즘 일이 옷만큼이나 엉성해요. 정신을 차리세요. 실례합니다. 요즘 기분이 어떤가요? 후임들을 보면 부끄럽지 않나요? 실례합니다."
꼬마야. 여기서 먹물먹은 등신들은 다 내편인 거 같구나? . 말 하면 죽일 거다. 니들 말을 들은 사람도 죽일 거야 저 사람이 범인이에요 말하면 죽인다 그랬지!! 죽일 거라고 했다 네 말을 들은 사람도 죽일 거라고 했어!!!!!! . 나 출소하면 너부터 죽인다. . 어디 잘 숨어봐. 찾으면 다시 바로 찔러버리게 .,협박 대화,어린이. 여기 있는 바보들은 다 내 편인 것 같은데? . 나한테 말하면 죽여버리겠다. 네 말을 들은 사람을 죽이겠다. 이 사람이 범인이라고 하면 죽여버리겠어!! 당신은 나를 죽일 것이라고 말했다. 듣는 사람은 다 죽인다고 했잖아!!!!!! . 내가 감옥에서 나오면 당신을 먼저 죽이겠습니다. . 어딘가에 숨어. 찾으면 다시 찌르세요.
야 거기 서봐. 왜 그러세요. 가지 말고 사면 돼잖아. 그걸 왜 제가. 안사요 안돼면 집에 내가 가야지. 돈도 안주고 물건 망치고 선생님 제발요. 제가 안그랬어요 아닌데 만지는 거 다 봤는데 제발 안돼요. 살게요. 빨리 돈 내 예. 알겠습니다.,갈취 대화,"이봐, 거기 서 있어. 왜 이러는 걸까요? 가지 않고 그냥 사셔도 됩니다. 내가 왜 그랬지? 나는 그것을 사지 않을 것이다. 안되면 집에 가야해요. 선생님, 제가 돈도 안 주고 물건을 망쳤어요. 나는 그렇게하지 않았습니다. 당신이 만지는 걸 봤는데, 제발 그러지 마세요. 나는 살 것이다. 응, 빨리 돈을 받고 싶어. 순서대로."
어머머 강대리봐 요즘 부쩍 이뻐지네 뭐 만나는 사람 있나 안그래도 요즘 소문 돌잖아요 양다리니 뭐니 그러니까 간도 크지 양다리를 회사 내부에서 저기요 일이 그렇게 없어요? 가서 일이나 하시죠 어머 강대리 다 들렸어? 작게 말한다고 했는데 네 다 들렸구요 그런 일 없으니까 똑바로 아세요 에이 그래도 아니땐굴뚝에 연기나겠어 막말로 내가 그러던 말던 뭔 상관인데요 어머 얘 당돌하네 당연히 상관있지 급떨어지게 하 쟤가 양다리라는 증거있어요? 증거도 없으면서 증거? 증거는 없지 난 그냥 니가 싫거든,직장 내 괴롭힘 대화,"맙소사, 강 대리 좀 보세요, 요즘 많이 예뻐졌네요. 누군가를 만나고 있나요? 최근 양다리살이라던가 하는 소문이 돌고 있어서 간도 크다. 회사에 양다리 같은 건 없잖아요? 가서 일을 하세요. 아, 강 대리님, 다 들으셨나요? 조용히 말하고 있다고 했는데, 네, 다 들렸어요. 그런 일은 일어나지 않았으니 진실을 아시겠죠? 아, 하지만 그렇지 않으면 굴뚝에서 연기가 날 것입니다. 내가 말하든 말든 무슨 상관이야? 아, 그 사람 정말 용감해요. 물론 중요합니다. 그를 강하게 버려라. 이게 양다리라는 증거가 있나요? 증거없으면 증명? 증거는 없어 그냥 니가 싫어"
오빠 나 임신한것같아 갑자기 그게 무슨 소리야 나 이번달에 생리가 없어 그래서 어쩌라고 오빠가 지난번에 실수해서 그런것같아 그게 내 애인지 어떻게 알아 니가 어디서 몸 굴리고 다녔을지 무슨 말을 그렇게 해 당연히 오빠랑 내 애지. 니 말 못믿어 난 책임안져 니가 알아서 지워 오빠. 같이 책임져야지. 이러지마. 저리 꺼져,기타 괴롭힘 대화,"오빠, 나 임신한 것 같아요. 갑자기 그게 무슨 뜻이야? 이번 달에는 생리가 없어요. 그러면 어떻게 해야 합니까? 지난번에 실수를 했기 때문인 것 같아요. 내 아이인지 어떻게 알 수 있나요? 어디로 왔다 갔다 했나? 당신은 무엇을 말합니까? 물론 당신과 내 아이는 내 것입니다. 나는 당신을 믿지 않습니다. 나는 책임이 없습니다. 직접 삭제하세요, 형제님. 우리는 함께 책임을 져야 합니다. 그러지 마세요. 나에게서 떨어져"
누구야 내 동생 팬게 누구세요? 니가 김뽀뽀냐? 니가 내 동생 때렸어? 네 제가 김뽀뽄데요 때리진 않고 같이 장난친건데 너 죽고 싶어? 한 번만 더 나대면 대가리 다 뜯어 버릴 줄 알아 형이나 동생이나 막나가는 건 똑같네 뭐? 너 밤길 조심해라 밤에 돌아다닐 때 헬멧 쓰고 다녀 대가리 박살나기 싫으면 와 무슨 말을 그렇게 살벌하게 하세요? 제가 더 맞았거든요? 됐고 니 이름 한 번만 더 들리면 쥐도새도 모르게 죽여버릴테니까 행동 조심해 알겠어? 녹음했어요 경찰서에서 봬요,협박 대화,"당신은 누구입니까, 내 동생? 누구세요? Kim Pobo입니까? 당신이 내 동생을 때렸나요? 네, 김보봉입니다. 때린 것도 아니고 그냥 가지고 놀았는데 죽고 싶냐? 네가 다시 나타나면 네 머리를 찢어버릴 거라는 걸 알아. 나이가 많든 적든 마찬가지겠죠? 밤에는 거리에서 조심하세요. 밤에 걸을 때는 헬멧을 착용하세요. 머리 박히기 싫으면 왜 그렇게 심한 말을 하는 걸까? 내가 더 맞았지? 그게 다야. 또 네 이름 들으면 나도 모르게 죽여버릴 테니까 조심해 알겠지? 나는 그것을 녹음했다. 경찰서에서 만나요."
아까부터 계속 연락오는데 누구야? 아무것도 아니야. .누군데? 아무것도 아니라니까. 핸드폰 내놔봐 내 핸드폰을 니가 왜 봐? 니가 지금 의심스러운 행동을 하잖아! 빨리 줘봐 누군지 보게! 아 싫다고!! 너 바람 피냐? 니랑 저 새끼 둘 다 죽이고 깜빵 간다 데려와 저새끼 아니라니까 오해라고!,협박 대화,나는 한동안 당신에게 연락을 해왔다. 누구입니까? 그것은 아무것도 아니다. .누구세요? 아무것도 아니기 때문이죠. 전화기를 주세요. 왜 내 휴대폰을 보고 있는 걸까요? 당신은 의심스러운 행동을 하고 있어요! 빨리 나한테 주고 누군지 알아봐! 아 싫어!! 당신은 바람을 피우고 있습니까? 너랑 그 놈을 죽이고 다시 데려오겠다. 그 새끼 아니라고 했으니 이건 오해입니다!
자 오늘 오후 회의는 상담실3 에서 하겠어요 팀원들에게 전달해주세요 네 아 지은씨는 회의에 굳이 참석 안해도 되지 않나요? 이 프로젝트 이해도 못하는 거 같은데 그러세요 그럼 지은씨 빼고 전달해요 오늘 회의는 어딘가요 아 . 지은씨는 안 와도 될 거 같아요 왜요? 우리끼리 할게요 회의는 저도 참여한 프로젝튼데. 지은씨가 없어야 분위기가 더 좋을 거 같아요 항상 저만 따돌리시네요,직장 내 괴롭힘 대화,"오늘 오후 회의는 이제 3번 상담실에서 진행됩니다. 팀원들에게 이 내용을 전달해 주시기 바랍니다. 응, 지은 씨는 회의에 참석하지 않아도 돼요? 나는 당신이 이 프로젝트를 전혀 이해하지 못하고 있다고 생각합니다. 그럼 지은이 없이 전달할게요. 오늘 회의는 어디서 열리나요? 음. 지은아, 꼭 올 필요는 없을 것 같아. 왜? 우리는 스스로 그것을합니다. 그 모임은 나도 참여한 프로젝트다. 지은이가 없었다면 분위기가 더 좋았을 것 같은데, 넌 맨날 나를 괴롭힌다."
어 누구 닮은셧는데 ? 누구요 연예인 그 . 그 . 연예인은 다 너무 이쁘잖아요 에이 개그우먼은 아니잖아요 네 ? 개그우먼요 ? 그럼 배우게요 ? 아 제가 오버했네뇨 계산해주세요 개그우먼 궁금하지않아요 누구랑 닮앗는지 ? 네 궁금하지 않습니다 계산이나 해주세요,기타 괴롭힘 대화,"아, 누구처럼 보이나요? 이 유명인은 누구입니까? . 연예인은 다 너무 예쁘지만 개그맨은 그렇지 않죠? 코미디언? 그럼 배워볼까요? 아, 내가 너무 과했나봐. 계산해 보세요. 나는 코미디언에 대해 궁금하지 않습니다. 그녀는 어떻게 생겼나요? 네, 궁금하지 않습니다. 계산을 해주세요."
아니 ?형씨 운전을 그따위로 하면어떡해? 그따위?라뇨 말씀이 심하십니다 다 같이 죽자는거야 뭐야! 깜빡이 없이 들어오신건 그쪽입니다 뭐라고??? 그리고 보복성으로 차를 세우는 것도 신고할수있습니다 지금 나를 신고하겠다는거야? 어? 여기서 더하시면 신고하겠습니다 아니 !! 신고못할걸? 내가 지금 너 조져버릴거야 너는 112가 아니라 119에 전화해야할걸? 조금이따가도 그렇게 주둥이 잘놀리는지 보자고 왜그러십니까!!,협박 대화,그렇게 운전하면 어떡하지? 무슨 얘기를 하는 건가요? 우리 모두가 함께 죽어야 한다고 생각하시나요? 눈 하나 깜빡하지 않고 걸어들어오신 분이군요. 무엇??? 그리고 보복으로 차를 멈추는 사람을 신고할 수도 있습니다. 지금 신고하겠다는 겁니까? 음? 여기에 더 추가하시면 신고하겠습니다. 아니요!! 신고하면 안되나요? 난 지금 너랑 장난칠 거야 112가 아니라 119에 전화해야지. 나중에 그런 짓을 해도 되는지 알아보라고 왜 나한테 말합니까!!
