원본,라벨,독어_역번역
돈 좀 없냐? 없어요. 너 알바비 받은 거 있잖아. 썼어요. 없어요. 그때보니까 현금으로 꿍쳐두더만. 어디숨겼냐? 그거때문에 집을 이렇게 개판으로 만들었어요? 그니까 돈 어디있냐고! 없더고 그랬잖아요! 있어도 못줘요! 돌기전에 내놔라. 어디 숨겼냐? 동네 사람들 다 나와야 내놓을래? 제발 그만 좀 하세요. 한 번만 좀 도와주라 어? 어딨어! 진짜 지긋지긋해.,갈취 대화,"돈이 있나요? 아니요. 당신은 시간제 급여를 받았습니다. 나는 그것을 썼다. 아니요. 그때 나는 그것을 현금으로 저축하고 있다는 것을 깨달았습니다. 어디에 숨겼나요? 그래서 집을 그렇게 엉망으로 만들었나요? 그럼 돈은 어디에 있나요? 하나도 없다고 말했잖아! 가지고 있어도 줄 수가 없어요! 상황이 바뀌기 전에 나에게 주세요. 어디에 숨겼나요? 동네 사람들 다 나올 때까지 삭제하고 싶지 않으신가요? 그만하세요. 한 번만 도와줘, 알았지? 어디세요! 너무 지쳤어요."
나 버스비가 없어서 그러는데 만 원 좀 빌려줘 너한테 돈을 왜 빌려주냐 한테 달라고 해. 아 맞다 쟤가 있었지 야 나 버스비가 없네! 만 원 빌려주라 나 돈 없어. 너 돈 많잖아 나 진짜 돈 없어 버스카드는 있을 거 아니야 거기에 얼마 있냐? 5만원 있어. 오 많네! 나 그거 빌려줘 안되는데. 좀 빌려주지? 친구끼리 빌려주는 거지 응? 알겠어,갈취 대화,"버스표가 없는데 1만원만 빌려주시고 왜 돈을 빌려주냐고 물어보세요. 아, 맞아요, 거기 있었어요. 아, 버스표가 없어요! 10,000원만 빌려주세요. 돈이 없어요. 당신은 돈이 많습니다. 정말 돈이 없어요. 버스패스가 없는 것 같아요. 얼마나 있나요? 나에겐 50,000원이 있다. 아, 너무 많아요! 나는 당신에게 그것을 빌려줄 수 없습니다. 좀 빌려줄 수 있나요? 친구들한테 빌려주는 거 맞죠? 좋아요"
야 너 뭐냐? 어? 왜? 내가 매일 5만원씩 만들어오라고 했잖아. 미안. 돈이 없어. 돈이 없으면 다야? 만들어 오라고. 올해 용돈까지 다 미리 받아서 안돼. 그럼 내년 용돈까지 미리 받던가. 미안. 한 번만 봐주변 안될까? 그래 그럼 내일까지 30만원이다. 뭐? 안돼.,갈취 대화,"이봐, 넌 뭐야? 음? 왜? 매일 5만원씩 벌라고 했어요. 실례합니다. 나는 돈이 없습니다. 돈이 없으면 어떡하지? 와서 해보세요. 올해는 용돈을 다 미리 못 모아요. 그렇다면 내년도 지원금을 미리 신청해 보는 것은 어떨까요? 실례합니다. 그냥 좀 봐주시면 안 될까요? 알겠습니다. 그러면 내일까지 아직 30만원입니다. 무엇? 아니요."
너 지금 무슨상황인지 머리가 안돌아가? 아닙니다 죄송합니다 너 어떤 놈인지 알아내는거 문제도 아니야 그그게 여기가 어디라고 그딴식으로 행동하는거야! 정말 죄송합니다 웃어? 웃겨 이게? 아 아닙니다 너 안되겠네 따라와 내가 말로만 할줄아나본데 너같은 놈은 정신차리게 해줘야해 끌려가며으으으아 죄송합니다아!!!!,협박 대화,"무슨 일이 일어나고 있는지 보고 미쳤나요? 아니요, 죄송합니다. 당신이 어떤 사람인지 알아내는 것은 문제가 되지 않습니다. 그래서 당신은 자신이 어디에 있는지 모르기 때문에 이렇게 행동하는 것입니다! 정말 죄송해요. 웃고 있나요? 재미있나요? 아뇨, 그렇게 할 수는 없습니다. 나를 따르라. 말만 할 줄 알았는데 당신 같은 사람들은 정신 차려야 해요. 나는 끌려가고 있다. 윽, 미안해요!!!!"
오빠 어떻게 이럴 수가 있어? 응? 무슨 말이야. 수아야. 오빠.내가 모를 거 같아? 어제 술먹고.나한테 무슨 짓을 한거냐구! 어제.? 아니 수아야. 어제 니가 먼저 나 좋아한다고. 같이 있어달라고. 내가 ? 내가 술먹고 취했다고 기억 못할 줄 알고 그러는 거야? 오빠 진짜 나쁜 사람이구나. 수아야 진정 좀 해봐. 어제 분명 우리 좋았잖아. 너도 좋다고 했고 우리 진지하게 만나기로. 아 됐고 오빠 나 오빠 성폭행으로 고소할 거야. 뭐? 성폭행? 너 진짜 미쳤어? 고소 당하기 싫으면 조용히 우리 선에서 끝내자. 합의금정도는 줄 수 있잖아? 많이도 안바라. 오백만 줘. 오백? 하 참 너 이러려고 어제 나한테 연락한 거였니? 난 못줘. 그래. 오빠 그럼 오빠 평생 부모님한테 사람들한테 성폭행범 소리 듣게 해줄게. 아니면 조용히 끝내던가 2시간 줄게. 알아서 해.,갈취 대화,"어떻게 그럴 수 있었나요? 사실이 아니지? 무슨 얘기를 하는 건가요. 수야입니다. 오빠. 내가 모를 것 같아? 나는 어제 술을 마셨다. 나한테 무슨 짓을 한 거야? 어제.? 아니요, 수야예요. 어제 당신이 처음으로 나를 좋아한다고 말했어요. 나와 함께 있어주세요. 나 ? 내가 술에 취해 기억하지 못할 것 같나요? 형님, 정말 나쁜 사람이에요. 수야, 진정해. 우리는 어제 확실히 즐거운 시간을 보냈습니다. 당신은 그렇다고 대답했고 우리는 진지하게 만나기로 결정했습니다. 아 그렇군요. 성폭행으로 고소하겠습니다. 무엇? 성폭행? 정말 미쳤나요? 고소 당하고 싶지 않다면 자유롭게 우리의 조건에 따라 이 일을 끝내십시오. 합의금 좀 주실 수 있나요? 너무 많이 기대하지 마십시오. 500만 주세요. 500? 하, 그래서 어제 나한테 연락한 거야? 나는 그것을 당신에게 줄 수 없습니다. 좋아요. 그러면 형제여, 나는 당신의 부모와 사람들이 당신을 평생 동안 강간범으로 부르게 만들 것입니다. 아니면 조용히 끝내셔도 됩니다. 2시간 드리겠습니다. 그것을 처리하십시오."
야 새꺄 일로와바 일병 보니까 너네가 이미 노래방 청소했는데 우리가 거기 담당이더라고 너네는 주방 청소다. 저희가 이미 했는데 내일부터 그러겠습니다. 아니지 너네 담당인 주방 해야지 지금 저희가 이미 노래방 했지 않슴까 병장한테 대드는거냐? 취사하고 와서 나 힘든데 어이없네. 내일부터 하겠습니다. 병장이 으로 보이냐 뒤질래? 아님다,직장 내 괴롭힘 대화,야 새꺄 일로와바 일병 보니까 너네가 이미 노래방 청소했는데 우리가 거기 담당이더라고 너네는 주방 청소다. 저희가 이미 했는데 내일부터 그러겠습니다. 아니지 너네 담당인 주방 해야지 지금 저희가 이미 노래방 했지 않슴까 병장한테 대드는거냐? 취사하고 와서 나 힘든데 어이없네. 내일부터 하겠습니다. 병장이 으로 보이냐 뒤질래? 아님다
민수야 나 수술비가 필요해서 그러는데 5만원만 빌려줄 수 있을까? 응? 안돼. 나 다음달 용돈 받기 전까지 힘들어 아. 나 수술해야하는데 당장 돈이 없어서 그래. 정말 미안해. 나 돈이 진짜 없어서 그래. 나도 돈이 없어 근데 수술을 또 해야하고. 좀 빌려주라. 미안해. 야. 너무하지 않어? 당장 수술하는데 병원비가 없어서 수술을 못잡는데 좀 도와줄 수 있잖아. 아니 그게 아니라 너 수술비 보태주면 나는 어떻게 벼텨. 퇴원해서 일해서 갚을게 그러면 되잖아 좀 빌려주라. 나 빨리 수술해야돼 알았어.,갈취 대화,"민수야, 수술비가 필요해. 5만원만 빌려주실 수 있나요? 사실이 아니지? 아니요. 다음 달에 용돈을 받을 때까지 힘들어요. 수술이 필요한데 지금은 돈이 없어요. 정말 죄송해요. 왜냐면 정말 돈이 없거든요. 나도 돈이 없는데 또 수술을 해야 해. 나에게 뭔가를 빌려주세요. 실례합니다. 여기요. 너무 많은 것 아닌가? 지금 수술이 필요한데 병원비가 없어서 수술 일정을 잡을 수가 없어요. 저를 도와주실 수 있나요? 아니요, 사실이 아닙니다. 수술비를 부담한다면 어떻게 지불해야 하나요? 퇴원 후 일로 보답하겠습니다. 그럼 나한테 돈 좀 빌려줘. 빨리 수술이 필요해요. 좋아요."
나 이거 할인해줘 이 상품은 할인 상품이 아니세요. 무슨 소리야? 어제는 됐다고. 그건 어제까지만 행사였습니다. 그래서 지금 손님보고 안된다는 거야? 저희 방침이 그래서. 이거 서비스가 이래도 돼? 죄송하지만 이건 제 권한이 아닙니다. 점장 누구야? 알바관리 이렇게 해? 죄송합니다.,기타 괴롭힘 대화,이것에 대해 할인을 해주세요. 이 상품은 제공되지 않습니다. 무슨 얘기를 하는 건가요? 어제는 끝났습니다. 어제까지만 해도 그냥 이벤트였거든요. 그럼 이제 손님을 받을 수 없다는 겁니까? 그것이 우리의 정책입니다. Can this service be like that? 죄송하지만 그건 제가 책임지는 영역이 아닙니다. 지점장은 누구입니까? 아르바이트를 이렇게 관리하시나요? 실례합니다.
어때? 예쁜 손가락이 곧 없어질텐데. 림 그리는 사람한테는 손이 생명이에요 그러게. 좋게 얘기할때 알아들어야 5개 손가락을 가질수 있지 지금 하는 작품만 마무리하고 할께요 시간 없다고. 하루에 한개씩 손가락 사라진다고 생각해 봐 최대한 노력해서 빨리 끝내도록 할께요 그래? 그럼 손가락에서 발가락까지 범위를 늘릴거야 . 기억하라고. 네 기억하겠습니다 속는셈치고 믿어보지 . 매일 진행상황 보고하라고 네 보고드리겠습니다,협박 대화,"어때요? 나의 예쁜 손가락은 곧 사라질 것이다. 테두리를 그리는 사람들에게는 손이 곧 생명입니다. 말을 잘할 때 이해하면 손가락이 5개밖에 없습니다. 그냥 내가 하고 있는 일을 끝내겠습니다. 시간이 없어요. 하루에 손가락 하나를 잃는다고 상상해 보세요. 최대한 빨리 끝내도록 최선을 다하겠습니다, 그렇죠? 그런 다음 손가락에서 발가락까지 영역을 확대합니다. 기억하다. 네, 기억하겠습니다. 속은 척하고 믿을게요. 매일 진행상황을 보고해주세요. 네, 보고하겠습니다."
이빨을 못쓰게 뽑아버려야겠어 왜 그러십니까 왜긴 니놈 하는 짓거리가 거슬려서 참을 수가 있어야지 밑도 끝도 없이 왜그러십니까 진정하세요 진정하는건 내마음이고 니 새끼가 거슬리는 것도 내맘이지 말씀이 너무 심하세요 그래 니 입부터 거슬려서 이빨이라도 뽑아버리면 밥도 못먹어서 말할 힘도 없겠지 낄낄 신고하겠습니다 신고하기전에 강냉이 털릴텐데 괜찮겠어? 제가 이런소리 들을 이유는 없습니다. 그만해주세요 제발,협박 대화,사용할 수 없도록 치아를 뽑아야 합니다. 왜 이러는 걸까요? 당신이 하는 일은 짜증나기 때문에 참을 수 있어야 합니다. 왜 이러세요? 진정하다. 진정되는 것은 내 마음이고 당신을 괴롭히는 것은 내 마음입니다. 너무 심한 말을 하고 있나요? 그래서 입이 너무 짜증나서 이를 뽑으면 밥도 못먹고 말할 힘도 없게 됩니다. 낄낄거림. 신고하겠습니다. 신고하기 전에 옥수수를 훔쳐갈 텐데 그래도 괜찮을까요? 나는 이런 말을 들을 이유가 없습니다. 제발 제발 그만둬
여보 요즘 다른 여자 만나는거 아니지 .? 뭐라는거야 밥이나 차려 아니 .요즘 당신 연락오는거보니까 여자 있는거같아서 . 하 진짜 의심 좀 그만해라! 전에 있던일은 실수라고 했잖아 지겹다 진짜 미안해 . 의심하기전에 니 거울이나봐라 니 꼬라지가 그러는데 아휴 뭐 ? 애 낳고 나서 뒤룩뒤룩 살이나 찌고 그게 뭐냐? 여자 맞냐? 애 키우다보니 신경 못 썼을 뿐이야 . 제발 신경 좀 써라! 아줌마네 아줌마 이러니 내가 너를 여자로 보이겠냐?,기타 괴롭힘 대화,"여보 요즘 다른 여자 안 만나요? 무슨 얘기를 하는 건가요? 저녁을 준비하자. 최근에 연락을 해보니 여자친구가 있는 것 같더라고요. 하, 정말 의심하지 마세요! 나는 이전에 일어난 일이 실수라고 말했습니다. Ich habe es satt. 정말 죄송해요. 의심하기 전에 거울을 보세요. 당신의 말도 안되는 소리는 ""와우, 뭐라고요?"" 출산 후 살이 찌는 원인은 무엇인가요? Bist du eine Frau? 단지 아이를 키우다 보니 집중을 하지 못했을 뿐입니다. 비트 aufgepasst! 아줌마 아줌마 이렇게 하면 여자로 보일까요?"
우리를 배신하면 어떻게 되는지 니가 더 잘 알지 않나? 실수 ? 너는 실수를 목숨을 내놓고 하는구나. 아닙니다. 정말 몰랐습니다. 형님 . 나는 고의든 실수든 우리를 배신하는 애는 사람으로 취급을 안해서 말이야. 제가 어떻게 하면 될까요. 어떻게 하긴. 앞으로 우리를 다신 배신하지 않겠다는 의미로 팔 한쪽만 내놓으면 돼. 네? 그게. 무슨 니가 실수였든 아니든 우릴 배신한 건 맞으니까 다신 그러지 않아야 하잖아? 그렇지만 팔을. 내놓는 다는 건. 못하겠어? 그럼 뭐 다른 데를 내놓겠다는 건가? 살려주십쇼.,협박 대화,당신이 우리를 배신하면 무슨 일이 일어날지 당신이 더 잘 알지 못합니까? 실수 ? 당신은 목숨을 앗아간 실수를 저지릅니다. 아니요. 나는 정말로 몰랐다. 형. 나는 의도적이든 우연이든 우리를 배신하는 사람들을 인간으로 대하지 않습니다. 어떻게 해야 하나요? 어떻게 해야 합니까? 당신이 해야 할 일은 다시는 우리를 배신하지 않을 것임을 보여주기 위해 팔을 보여주는 것뿐입니다. 예? 즉. 실수든 아니든 우리를 속인 건 사실이니까 다시는 그런 짓을 하면 안 되는 거겠죠? 하지만 팔. 그것을 포기하십시오. 당신은 할 수 없습니까? 또 무엇을 제공할 계획인가요? 저를 구해주세요.
당신 아들이 사람을 때렸다고 네? 우리 애가요? 전치6주가 나왔는데 어쩔 거에요? 우리 애가 그런게 맞아요? 나는 경찰에 신고해도 상관 없는데 네?! 그냥 치료비만 주세요. 조용히 처리합시다 아니 그럴 리가 없는데 아 그럼 경찰서에 가고 아니 잠깐만요,갈취 대화,"당신 아들이 사람을 때렸다고 했죠? 우리 아이인가요? 수술은 6주 후에 끝나게 됩니다. 어떻게 해야 하나요? 내 아이도 그런가요? 경찰에 신고해도 상관없겠죠? 진료비만 주세요. 침착하게 처리합시다. 아니요, 그건 불가능합니다. 아, 그럼 경찰서로 갑시다. 아니, 잠깐만요."
너 길동이 기억하지? 너가 괴롭혀서 죽은 내 딸. 무슨 소리세요. 저는 그런 사람 모릅니다. 니 자식이 똑같이 돼도 모른다고 잡아뗄텐가? 죄송합니다!!! 제가 다 잘못했습니다. 네 아이가 위험해지니 이제야 죄송하다고? 제가 다 잘못했습니다. 제가 잠시 미쳤었나 봅니다. 너도 나처럼 자식을 잃는 고통을 느껴봐. 제발 살려주세요. 그 아이는 아무 잘못 없잖아요. 자식을 잃은 마당에 그런건 중요하지 않아. 제발 부탁드려요.,협박 대화,길동을 기억하시나요? 내 딸은 당신이 고문했기 때문에 죽었습니다. 무슨 얘기를 하는 건가요? 나는 그런 사람을 모른다. 당신의 아이가 똑같아져도 모른다고 잡아주실 겁니까? 실례합니다!!! 나는 모든 것을 잘못했습니다. 당신의 아이가 위험에 처해 있다는 사실이 마침내 안타깝습니까? 나는 모든 것을 잘못했습니다. 잠깐 정신이 나갔었나 봅니다. 당신도 나 같은 아이를 잃은 고통을 느끼고 있습니다. 저를 구해주세요. 아이에게는 모든 것이 괜찮습니다. 아이를 잃어도 상관없습니다. 제발 부탁드립니다.
내가 지금 니 딸을 데리고 있다. 제 딸은 무사한가요? 아직은 무사하다. 내가 시키는대로만 하면 죽이진 않는다 시키는 대로할게요 제발요 돈을 준비해서 원하는 장소로 가지고와라 그럴게요. 그럴게요 혹시나 헛생각하면 니딸은 죽는다 제발요. 아무것도 하지않고 시키는대로 할게요 잘생각하고 돈을 준비해놓고 기다려라 다시 전화할테니 딸목소리 한번만 들려주시면 안되나요 헛소리말고 끊어라 왜 딸 비명 소리라도 듣고싶은가 아.아니요.,협박 대화,내가 지금 니 딸을 데리고 있다. 제 딸은 무사한가요? 아직은 무사하다. 내가 시키는대로만 하면 죽이진 않는다 시키는 대로할게요 제발요 돈을 준비해서 원하는 장소로 가지고와라 그럴게요. 그럴게요 혹시나 헛생각하면 니딸은 죽는다 제발요. 아무것도 하지않고 시키는대로 할게요 잘생각하고 돈을 준비해놓고 기다려라 다시 전화할테니 딸목소리 한번만 들려주시면 안되나요 헛소리말고 끊어라 왜 딸 비명 소리라도 듣고싶은가 아.아니요.
헤이 형씨 보아하니 관광객인 거 같은데. 여기는 처음인가? 아 네. 그럼 이게 없으면 안 되지. 이거 받아. 예? 뭔가요? 뭐긴 뭐야 칼빵이지. 받아라 슈슉! 으악! 하하 쫄았니? 네버랜드에 온 걸 환영한다. 진짜로 찌르기 전에 가방 털어. 도와줄 사람 아무도 없는 거 알지? 윽 알겠어요. 살려주세요. 그래야지 너 방금 손가락 하나 날아갈 뻔했어. 허튼 생각 했다간 앞으로 밥먹을 때 되게 불편해 질 거야. 근데 이게 다냐? 야 주머니도 털어 새끼야. 크윽 네. 음 이거지. 돈 냄새가 달달하다. 보자 차비 정도는 남겨두지. 난 쿨한 놈이니까. 가 감사합니. 잠깐 교통카드 있네. 방금 그 말은 취소다. 괜히 친절을 배풀 필요없겠어. 난 알뜰한 놈이니까. 그리고 니가 입고 있는 자켓이랑 목걸이 쌔삥이냐? 센스 좋네. 그것도 내놔. 그리고 꺼져. .네. 다음에는 좀 더 가지고 와라. 언제든 환영해 줄테니.,갈취 대화,"안녕하세요 형님, 관광객이신 것 같군요. 이번이 처음이신가요? 아, 그렇죠. 그러면 그것 없이는 할 수 없습니다. 이것을 가져가세요. 예? 저게 뭐에요? 저게 뭐에요? 칼이에요. 받아, 쉿! 아야! 하하, 무서웠나요? 네버랜드에 오신 것을 환영합니다. 나를 찌르기 전에 가방을 흔들어 보세요. 당신을 도와줄 수 있는 사람은 아무도 없다는 거 아시죠? 아, 그렇군요. 저를 구해주세요. 그런 식으로 손가락을 잃을 뻔했어요. 말도 안 되는 생각을 하면 앞으로 식사할 때 매우 불쾌할 것입니다. 하지만 그게 전부인가요? 야, 주머니도 비워라 이 새끼야. 어, 그렇죠. 글쎄, 그게 다야. 돈 냄새는 달콤해요. 보고 있는 차비 정도는 남겨두지. 왜냐하면 나는 멋진 사람이니까. 매우 감사합니다. 잠깐, 교통카드가 있어요. 방금 말씀하신 내용이 취소되었습니다. 나에게 친절을 베풀 필요는 없습니다. 나는 검소한 사람이기 때문에. 그리고 당신이 입고 있는 그 재킷과 목걸이는 뜨겁나요? 양식. 그것도 주세요. 그리고 꺼져. .예. 다음에는 더 많이 가져오세요. 언제든지 환영합니다."
저기요 네? 너무 맘에 들어서 그런데. 아네 연락처좀 여쭤봐도 될까요? 아.죄송합니다. 그래도 연락처좀. 남자친구 있어요. 번호 안 주면 여기서 당장 죽여버린다!!!! 아.네 드릴게요.,협박 대화,"이봐, 알았지? 하지만 나는 그것을 너무 좋아합니다. 연락처를 물어봐도 될까요? 아, 쯧 미르 레이드. 어쨌든 연락처를 알려주세요. 나는 친구가 있습니다. 번호 안주면 여기서 죽여버릴거야!!!! 아 네, 드릴께요."
저기요. 잠깐만요 매일 왜이러세요. 전 할말 없어요 그 쪽이 좋아서요 전 관심 없어요. 오지 마세요 한 번만 만나주세요. 제발 이러지 마세요. 전 남자친구 있어요 결혼한 건 아니잖아요. 딱 한번만 데이트해요 내가 왜 그쪽이랑 만나요? 그 쪽이 내 스타일이에요 난 아니거든요.,기타 괴롭힘 대화,"여기요. 잠깐만 왜 맨날 이러는 건데? 나는 할 말이 없다. 나는 그런 방식을 좋아한다. 나는 관심이 없습니다. 제발 한 번만 오지 마세요. 그러지 마세요. 나는 남자 친구가 있지만 우리는 결혼하지 않았습니다. 우리는 딱 한 번만 만나요. 내가 왜 너랑 데이트하는 거야? 그게 내 스타일이지, 그건 내가 아니야."
선생님 음주운전 측정이있겠습니다 어 고생이 많아 후하고 불어주세요 아 나 모르나? 아직 신입인가? 네??? 나 니네 서장이랑 친구인데 오늘 좀 좋은 자리가 있어서 한잔했어 아네 그렇습니까 그럼 후 불어주세요 아니 말귀가 안통하네 젊은 친구가? 네?. 그렇게 원리원칙대로 하다가는 먼저 골로 가는수가있어? 왜그러십니까. 이럴때는 눈치껏 보내줘야지 무슨 짓이야? 내가 서장 친구라니까 어? 아주 무서운지 모르고! 내가 만만해? 제 일을 했을뿐입니다.,기타 괴롭힘 대화,"선생님, 음주운전 시험이 있을 거예요. 아, 그동안 많이 겪었으니 아낌없이 불어주세요. 아, 저를 모르시나요? 아직 신입인가요? 예??? 나는 당신 상사와 친구이고 오늘 우리는 좋은 바에서 술을 마셨습니다. 그렇습니까? 그럼 나한테 불어주세요. 아니, 안 들려, 젊은 친구? 예?. 이러한 원칙을 따르면 먼저 거기에 도달할 수 있습니까? 왜 이러세요? 이런 때에는 그들에게 다음과 같이 알려 주어야 합니다. 지금 무엇을 하고 있나요? 저는 과장님 친구죠? 이렇게 무서운 줄 몰랐어요! 나는 쉬운가? 난 그냥 내 일을 했을 뿐이야."
김사원 내가 오늘 자네 왜 불렀는지 아나? 자.잘 모르겠습니다. 하아.김사원 말이야 아무리 평사원이라지만 무능한 것도 정도가 있지! 죄송합니다. 열심히 하겠습니다. 내가 그런 말이나 들으려고 부른 줄 아나? 죄송합니다. 이대리님. 큼 죄송하다면 됐네. 크흠! 자네 친구들 많지? 네? 갑자기 그것은 왜. 아니 반반한 거 말고 할 줄 없는 김사원 친구들이면 다 반반할 거 아닌가? 나도 슬슬 장가도 들어야 하는데 소개 좀 시켜줄 수 있을까 싶어서. 이대리님.죄송합니다.친구들은 다 연인이 있어서요. 뭐? 김사원은 이런 쓸모도 없나? 이렇게 일도 못해 상사 비위도 못 맞출거면 뭣하러 회사까지 나오나? 그냥 시집가서 애나 낳고 밥이나 차리지? 이대리님 말씀이 너무 지나치십니다!,직장 내 괴롭힘 대화,"김사원님, 제가 오늘 왜 전화했는지 아세요? 글쎄요, 잘 모르겠습니다. 하, 김 직원, 아무리 선배라도 무능력은 있는 법! 실례합니다. 나는 열심히 일할 것이다. 내가 그런 말을 들으려고 당신을 여기로 부른 것 같나요? 실례합니다. 이 매니저. 그렇게 미안하다면 괜찮습니다. 뭐! 친구가 많나요? 예? 갑자기 왜 이럴까요? 아니, 반심이 아닌 이상 김사원 친구들은 모두 반심, 반심이 아닐까? 저도 곧 결혼을 해야 하는데 저를 소개해 주실 수 있으신지 궁금합니다. 이 과장님, 죄송합니다. 내 친구들은 다 애인이 있어요. 무엇? 김사원이 그렇게 쓸모없나요? 일을 할 수 없고 상사를 기쁘게 할 수 없다면 왜 일하러 오나요? 그냥 결혼하고 아이를 낳고 저녁을 요리해야 할까요? 이 과장의 말이 너무 과하다!"
그래 아직 인턴이랬지? 네. 아이디어가 아주 좋네. 다음 회의 때 발표해도 되겠어. 정말요? 감사합니다. 근데 아직 인턴이면 발표를 직접 하긴 좀 그런데. 네? 아무래도 이게 전달이 잘 돼야 할 아이디어거든. 네. 그러니까 직접 발표는 좀 더 숙련이 되면 하고. 이번엔 일단 내가 발표하는 걸로 하지. 하지만 제 아이디어인데. 응 알지. 다 알지. 나중에 이게 통과가 되면 그때부터 참여하는 걸로 하고. 대신 내가 인턴 점수는 아주 제대로 매겨 줄게. .,직장 내 괴롭힘 대화,"그럼 아직도 인턴이라고 했죠? 예. 아이디어는 매우 좋습니다. 다음 회의 때 발표할 수 있어요. 정말? 감사합니다. 하지만 아직 인턴이라면 직접 프레젠테이션을 하기는 어렵습니다. 예? 이런 생각은 잘 전달되어야 할 것 같아요. 예. 그래서 내가 직접 발표하는 것이 더 능숙해지면 그렇게 할 것입니다. 이번에는 공지만 하겠습니다. 하지만 그건 내 생각이에요. 네, 알아요. 당신은 모든 것을 알고 있습니다. 나중에 이런 일이 생기면 그때부터 참여하겠습니다. 대신에 그 인턴에게 아주 좋은 점수를 주겠습니다. ."
지민씨 뭐하고 있어 문서 작업 마무리 하고 있습니다 그래 이번주말에 뭐하나? 별 일 없습니다 왜요? 등산이나 가지 그래 등산이요? 아 제가 생각해보니까 주말에 친구 결혼식이 에헤이 이 사람이 다 팀워크 아니야 이게 꼭 나와 아니 그건 좀 그런데요 이번에 빠지면 정말 아웃이야 아웃 하. 일단 알겠습니다,직장 내 괴롭힘 대화,"지민아, 뭐해? 문서 작업을 마쳤습니다. 이번 주말에 뭐 해요? 별로. 왜? 하이킹하러 가는 게 어때? 인상? 아, 생각해보니 이번 주말에 친구 결혼식이 다가오네요. ㅎㅎ 이 사람들은 다 팀워크가 아니네요. 반드시 내가 그런 것은 아닙니다. 아니, 좀 이상해요. 이번에 놓치면 정말 아웃이에요. 하아. 우선 이해가 되네요"
과장님. 저 이번에 휴가 좀 갔다와도 되겠습니까.? 휴가? 왜?? 좀 쉬다가 오고 싶습니다. 너만 쉬고싶어? 그건 아닌데. 다른 직원들은 이번에 다 나갔다왔는데 저만 지금 6개월째 못나갔습니다. 그야 그만큼 너가 일을 잘하니까 좀만 기다려봐! 저번에도 이러시고 안보내주시지 않았습니까. 김대리. 영영 나가고싶어? 죄송합니다. 그래 담부턴 죄송할 짓 하지마,직장 내 괴롭힘 대화,"관리자. 이번에는 휴가를 갈 수 있을까요? 휴가? 왜?? 좀 쉬었다가 다시 오고 싶어요. 그냥 쉬고 싶니? 그것은 사실이 아닙니다. 이번에 다른 직원들은 다 떠났는데, 지금 6개월째 일을 못하는 사람은 나뿐이다. 그건 당신이 일을 너무 잘하기 때문이죠. 그러니 기다리세요! 저번에 그러지 말고 나한테 보안을 줬지? 김 대리. 영원히 떠나고 싶나요? 실례합니다. 알았어, 이제부터 사과할 일은 하지 마."
야 너 뭐하는애야 네 선배 왜요? 내가 돈 모아오라 그랬지 죄송해요 못모았어요 그럼 니 주머니에 있는거 다 내놔 없다니까요 너 지금 피씨방 가는길이었잖아 네 그럼 천원이라도 됐고 다 내놔 선배 진짜 이러실거에요?,갈취 대화,"이봐, 뭐하는 거야? 상사님, 왜요? 돈을 저축하라고 했어요. 죄송합니다. 저장할 수 없었습니다. 그럼 주머니에 있는 걸 다 나한테 주세요. 당신은 아무것도 없다고 말했습니다. PC방으로 향하던 중이었습니다. 알았어 그럼 1000원이라도 다 내놔라 정말 이걸 할 건가요?"
