idx,class,conversation,keywords,persona,generated_conversation
183,갈취 대화,"우와 이거 예쁘다. 머야 이거?
이거 샤넬 미네 백이야.
엄청 비싼건데 예쁘다. 주아아 이거 하루만 써보자 명품이라 땍깔이 다르다.
안돼. 이거 우리 엄마가 사준거야.
친구 한 번 빌려주자. 나도 명품 좀 착용해보자.
미안해. 이거 나도 아까워서 게시 아껴두다가 오늘 한거야.
그래서 안된다고? 친구 간지 좀 세워주지.
그래도 안돼. 이거 기스나면 안돼.
아니 빌려달라고. 말귀를 못알아 먹나. 잘 쓰고 월요일날 학교에서 줄게 그럼 되는거지?
안되는데. 꼭 깨끗이 돌려줘","명품
우마
친구","우와 이거 예쁘다. 직업
친구 한 번 빌려주자. 관계
학교에서 장소","우, 이거 오래만 신고 된 거야? 
네, 이게 다 고급 명품이야. 친구가 나서서 빌려줬어.
어릴 때는 주변에서 볼 수 있는 거였는데, 이제는 너무 예쁜 것 같아.
그럼 나중에 잘 돌봐 줄게. 
네. 어떻게 하겠니?
  처음에는 무조건 신으려고 했지만, 가방이 너무 큰 거라... 
맞아. 오늘은 가방을 몇 개 가지고 다닐까?"
184,갈취 대화,"어이 형씨 오랜만이네?
 왜이러세요. 금방 갚겠다고 했잖아요.
 이자가 그새 불어서 말이야 정산은 확실히 해야지?
 그런게 어딨어요. 저 돈 없어요 이러지마요
 그럼 지금 하나밖에 없는 니 딸이라도 팔아서 돈 만들어야지 안그래? 딸 어디있어
 제발. 그건안돼요
 지금 줄래 아니면 딸 팔아서 줄래?
 지금 드릴게요. 얼만데요?
 이자 이백만원 당장 입금해
 네. 알겠어요","형
돈
달아","주인공은 입니다.
남성과 여성의 부부입니다.
입니다.","는 정말 무서운 거예요?
네, 형이 돈을 많이 모으고 싶으면서도 달아가 그만큼을 지키면 안 되겠죠?
맞아요, 형. 하지만 형이 이길라미를 사러 가려면 우리도 함께 다니면서 도와줄게요.
아, 그래? 왜 이렇게 나에게 말했어요?
는 저도 한 번씩은 해볼래? 형이 모르는 게 아니잖아.
 네가 할 수 있는 건 너만이 하며, 형은 저를 보낼 수 있어!
  를 배우면 더 잘 될 거야..를 배웠다면 가 제대로 된 사람으로 바뀌거든.
 는 보다 더 좋은 것 같아.는 더 신선한 느낌이야.
는 보다 더 많은 것을 얻을 수 있을까?
네, 가 더 좋을 것 같아서.형이 를 배우고 싶었던 것 같은데.
를 배울 때는 에서부터 시작해야 해.는 에 이어지는 거니까.
를 배우면 도 어렵지 않을 거야."
185,갈취 대화,"네 혹시 재용 씨 돼 시나요?
네 저 맞는데요 누구시죠
어머 연예인이신 재용씨와 직접 통화를 하다니 저 팬이에요
저기요 감사하지만 이렇게 함부로 연락하거나 하면 안 돼요
걱정 마요 할 말이 있으니까 연락한 거니까 최근 재용 씨 어떤 술집에 들어가서 성추행을 하셨다면서요
네? 당신 누구야 나 그런 적 없는데
어차피 증거는 조작됐으니까 허튼짓하지 말고 암튼 이거 퍼뜨리면 당신 커리어 어떻게 되는지 아시죠?
당신 원하는게 뭐야?
뭐 재용님은 돈이 많이 있으니까 20억만 계좌 이체 해주세요
하 나 어쩌피 이것도 경찰에 신고하면 당신도 무사하지 못 할걸
난 어차피 크게 한탕 하려는 겁 없는 인생이니까 상관없고 어차피 당신 커리어 안 망치면 20억 보다 더 벌 수 있잖아 시끄럽게 하지 말고 20억이나 계좌 이체해 안 그러면 알지?","연예인
성추행
경찰","연예인
,  
술집","어제 술집에서 만난 사람들 중 한 분이  였네?
그럼? 왜 그러냐?
이게 정말로? 그 는   였고, 나도 많이 즐거웠어. 
그 는  가 아니었어?
아니야, 그 가  였어! 그 는  으로 가서 를 하겠다고 했어.
 ! 그 와 결혼했으면 좋겠어. 
,  ?   !
 ,       .          .
 ...     ?     .
  ,              ...
 ?    ?
  , !               .
    !       .
      . ,    ?
     !  !
   , !
  !"
186,기타 괴롭힘 대화,"야 쟤 왜 사는지 몰라.
 에휴. 나같으면 벌써 자퇴했겠다.
 내말이
 야 그만해.
 뭐가 맞는 말 하는구만.
 너같으면 살고 싶겠냐?
 사람한테 무슨 말을 그렇게 심하게 해.
 도 찐따인가보네.
 와 완전 냄새나
 너희 진짜 너무하다.","야
사람
말","대화의 주인공은 학생이나 청소년으로 보인다.
이 대화는 친구들 사이에서 이루어지고 있다.
장소를 명확히 알","이 날 밤 야, 학교는 정말 어두웠네?
네, 하늘도 무성고 나무들도 깊은 자리에 앉아 있었다니.
그럼 우리 집에는 어떤 소리가 들었어? 
아, 저녁을 먹던 할머니님이 방 안에서 노래를 불렀어.
  할머니님의 노래가 너무 좋았어! 
  할아버지도 함께 를 연주했겠구나.
. 할머니님과 할아버지는 항상 를 잘 해서, 우리에게 좋은 음악을 들려줘.
그리고 우리 가족 모두 함께 한 번 더 듣기를 바래.
. 내일은 무엇을 하고 싶으실까?
  오늘보다 더 시간이 많아서, 우리가  가볼게!
  오, 정말 기쁜 마음이야!"
187,직장 내 괴롭힘 대화,"김 대리 승진해야지
 부장님 그래도 이건 아닙니다.
 사는게 다 그래. 나는 이렇게 안 한줄 알아?
 그래도 전 제 소신을 지키고 싶습니다.
 소신은 나가서 지켜요 여기 말고요
 부장님.
 난 말했고. 김 대리가 부처할거면 해. 근데 여긴 그런 곳 아냐
 어쩌면 좋죠.
 그걸 알면 내가 알려줘? 알아? 그냥 닥치는대로 해
 알겠습니다.","승진
소신
부처","대리
대리와 부장
이곳",", 이 승진이 어떻게 될 거예요? 
잘 하셨다고 들었는데요?
그럼에도 불구하고 이 자리는 제가 맡아야겠죠?
네, 그게 맞습니다. 지금도 소신을 다루는 데 잘 나서 보통 인사장에게 전달하겠습니다.
그리고 이 사장이 어떤 분인지 알았으면 좋겠다.
아, 우리 회사의 대표인 부처님입니다. 그분께 직접 가면 더 좋은 성과를 기대할 수 있을 것 같아요.
  부처님이가 되고 싶어요. 저도 그럴 수 있으려니, 도움이 필요하면 언제든 말씀하시길 바랍니다.
  고마워요. 도움습니다."
188,갈취 대화,"누가 여기서 장사하래?
여기서 장사한지 6개월도 넘었는데
뭐? 6개월이나 자릿세도 안내고 장사를 했다고?
아니 그런게 어딨어요
여깄지 로마에 오면 로마법을 타라야지
돈도 얼마 안벌리는데 자릿세가 어딨어요
그건 내 알바 아니고
부탁드려요 좀 봐주세요
그동안 밀린거까지 해서 담주까지 준비해
아이고 그럼 저는 어떻게 먹고살아요","장사
로마법
알바","알바
부모님, 아빠
로마","안녕하세요, 아버지는? 오늘도 잘 지내셨어요?
어때요? 내일 주말에는 어떤 계획이 있으실까요?
이달 말에는 로마에서 한 달을 보낼 예정이에요. 일자와 날짜는 아직 정해지지 않았지만, 그 때는 할아버지와 함께 여행을 가고 싶습니다.
정말 좋네요! 우리도 함께 갈 수 있을 것 같아요. 할머니께도 말씀드릴게요. 어떻게 할아버지를 만날 거예요?
  할아비도 기쁘하겠죠. 그 때도 우리가 함께 다니면 더 좋을 것 같습니다.
  그렇다면, 지금까지 할아가 어떤 일을 하고 계신가요?
 이쪽은 할아가 직접 하시는 것이 아니라 알바를 해서 세금을 모으고 있습니다.
  알바에 대한 생각이 없나요? 왜 그런 것을 선택했는지 궁금합니다.
  저는 할머니에게 도움이 필요해서 할아기를 위해 노력하고 있는 거예 요. 할아기의 건강을 걱정하기 때문입니다.
 네가 할아기에 대해 이나만 생각하시는 건 정말 좋아요. 그리고 할아기가 더 나은 상황으로 되길 바래요."
189,갈취 대화,"야! 나 오늘 승급전인데 말이야.
으응.?
돈이 없어서 말이야. 빌려줄거지? 너 돈 많잖아.
나. 나도 지금은 돈이 없어서 
이 씨발새끼가 진짜 야. 말귀 못알아 듣냐?
나도래 야 니가 지금 돈이 없을 때냐?
씨발 이 형님이 돈이 없다는 데 말이야 구걸해서라도 가져와야지 
아. 미안해. 얼마 필요한데.?
얼마? 씹새꺄 되는대로 구해와.
애 울겠다 울겠어.","승급전
돈
형님","주인공은 도박에 참여하고 있다.
주인공과 다른 사람들 간의 복잡한 관계가 존재한다.
문맥에서 알 수 없는","형, 이 게임이 왜 이렇게 오래 걸릴까? 우리도 돈을 더 많이  해?
네, 형, 저는 그만큼 보너스를 받고 싶습니다. 하지만 이승급전은 정말 어려운 거잖아. 
맞아요. 이 승급전에 들어온 사람들은 모두 다 최선을 다하고 있어. 우리는 어떻게   할 것 같으신가요?
  내가 생각보다 더 열심히 하겠어요. 우리 함께 노력해보면 되겠죠?
네가 그렇게 생각하시네. 그리고, 는 어떤 건데요? 이 승격 전에는 어떤 준비해야 하는 게 있나요?
 는 서류 제출과 체계적인 훈련을 포함합니다. 그 외에도 많은 시간이 필요하다는 것을 알고 계셨군요.
어렵네요. 우리가 한 번씩 가보겠습니다. 에 대해 더 자세히 알려주세요.
서류는 모든 사람이 동일하게 제출해야 하고, 훈은 개인적으로 선택하면 됩니다. 그런데... 그중에서도 가장 중요한 것은 자신의 강점을 잘 활용하는 것이죠.
  맞아요, 제가 약점을 찾아서 개선해야 할 부분을 찾았어요. 그리고 어떤 형식으로 훈 할까요?
예 예산이 제한된 경우라면 온라인 훈이나 스스로 실습으로"
190,협박 대화,"너 지금 어디야? 당장 나와!
 죄송합니다.
 어라? 이게 말대꾸까지 하네? 너 하나정도는 내가 바로 처리할 수 있어.
 그만하세요 제발.
 이 자식이? 너 간이며 신장이며 눈까지 뽑을거야.
 죄송해요.
 계속 말대꾸하네? 죽고 싶어 환장했구나?
 아니에요.살려주세요
 너 가족모르게 조용히 끝내줄게. 오늘밤이 마지막이야. 잘가라
 가족은 건드리지 마세요.
 넌 이미 죽은 목숨이야.
 잘못했어요.","목록
자식
목적","대화 분석 결과 대화의 주인공은 직업을 알 수 없지만, 다른 사람에게 당장 나와라고 명령하는 것으로 보인다.
대화 분석","어땐? 나랑 가는 거야?
네, 자식이 바쁘니 오늘   시간에 나와서 집으로 갈게.
우리가 다 같이 가면 너무 무리야. 나만 가고 있어도 되겠지?
? 그럼? 왜 나와야 하냐? 
그저 저녁 식사 때 더 편한데. 너도 잘 먹을 수 있잖아.
. 이건 나와도 괜찮아. 내가 가면 자녀들이 더 안정적으로 할 수 있을 것 같아.
. 그래? 어쩌면 자식들이 내 말을 듣지 않으려 해?
. 아니, 그거는 나의 말이야. 나한테 신뢰하라.
.? 왜 나에게 신뢰를 요구하시는지 궁금해.
나는 자녀들에게 신뢰가 필요해. 그들은 나를 믿으면 좋겠다.
. 그러면 나도 신뢰하면 된다고? 
그렇지. 나의를 들어봐.
.! 이건 정말 중요해. 하지만 지금 이 상황에서 중요한 건 자녀들과의 관계야.
?. 나의 말을  해.
.. 우리가 잘 지내는 게 가장 중요해.
.. 네, 맞아. 나도 그 생각했어."
191,직장 내 괴롭힘 대화,"은미씨 나 좀 도와줘
어떤거요?
우리집 이사하는거
제가 그걸 왜?
도와줄수 있지?
아니요.
안된다고?
네 제가 그걸 해야하는 이유라도 있나요?
안도와줄꺼면 일 그만둬
죄송합니다.","집
일
도우기","이 대화에서 직업, 관계, 장소를 추출한 결과입니다. 
직업 
관계 아내부부
장소 집","오늘 주말이 잘 되셨어요?
그럼요, 저는 집에서만고 있었습니다. 집을 정리하고 식사 준비했습니다.
나도 그와 같이 집안정리를 하면서 시간을 보냈어요. 오늘은 할아버지님과 함께 한식 먹으러 가려고 했는데, 날씨가 안 좋아서 결국 여기서만게 되더군요.
네, 날이 너무 비가 많이 오고 있어요. 집 안에서는 불편하겠네요. 
맞아요. 집에서 보니 집안이 정말 썩어버렸습니다. 그때까지는 항상 집을 청결히 유지했지만 는 시간이 많지 않아 그런 것 같아요. 
제가 도와드릴까요? 더 힘들면 도와주세요.
  고마워요. 도움이 필요하면 언제든지 말해 주세요. 
중단"
192,갈취 대화,"야 이 노숙자 돈 뺏어
안돼요
야 내가 발로 차버릴게 가만히 있어 임마
역시 우린 젊은 노숙자라서 나이든 노숙자 돈 뺏기 쉽다니까
인정 나이든 것들은 불쌍해 보여서 돈을 잘벌어요
그리고 그걸 우리가 몽땅 다 가져가면 완전좋지
야 그래도 살만큼은 줘라 얘들이 살아야 돈을 또 뺏지
이 나쁜 것들이
어유 지금 뭐라하셨어요
죄송합니다.","노숙자
나이
돈","노숙자
어른, 자녀
몽땅","어서 오셨어요? 이 집에서 살고 계신 거예요?
네, 예. 저는 한 달 전부터 살게 되었습니다. 돈을 모아두던 것들이 다 소비되면서... 
그럼 어떻게 살아왔나요? 도움이 필요하시면 언제든 말씀해 주세요.
고마워요. 제가 할 수 있는 일을 많이 하려고 해요. 하지만 요즘에는 힘들었죠. 많은 사람이 잘 사는 사람들을 보며 불안한 느낌도 들었습니다.
그런데 왜 그렇게 생각하실까요? 우리 집도 가난한 환경이지만, 가족과 함께 지내니 더 큰 문제가 없잖아요.
? 그건 나에게는 맞습니다. 하지만 다른 사람들이 나를 비판하고, 내 삶을 비난하기 때문에... 
그럼에도 불구하고 나는 계속해서 를 하고 있습니다. 그리고 이제는 내가 할 수 있을 것 같아요. 
? 그럼, 오늘은 어떤 계획이 있으신가요?
? 오늘은 하루 종일 방에만    ,    .    ."
193,기타 괴롭힘 대화,"애들아 스컹크 지나간다. 코막어. 어휴
내가 스컹크라고 하지말라고 했잖아.
내가스컹크라고 하지말라구해짜나아 풉. 야 말을 왜 그렇게 하냐?
따라하지마.
따라하지마아 어휴 모자란 새끼. 야 그리고 니가 스컹크니까 스컹크라고 하지.
내가 왜 스컹크야. 
냄새가 무슨 어휴 스컹크도 너 보다 낫겠다.
나 냄새 안나.장난치지마.
니가 왜 냄새가 안나? 야 화장실 냄새보다 니 냄새가 더 고약해서 차라리 너랑 있을 바에는 화장실에서 입열고 있는게 나아
그럼 나랑 얘기 안하면.되잖아. 왜 나한테 와서 계속 그러는거야.
그야 다른 애들도 니가 냄새 고약하다는 걸 알아야 피해다닐 거아니야. 애들이 불쌍해서 그렇지","애들
스컹크
냄새","친구, 남성, 여성이
화장실","아, 이 냄새가 너무 심한데요? 
어, 난 왜 ? 
네, 나도 그 냄세가 많이 났네. 오늘 아침에 애들이 자고 나서서 그런 것 같아?
오, 그 애들은 정말 많죠? 한 달에 다섯 개 이상을 받았는데...
그리고 스컹쿠도 몇 번씩 썼어요. 내일부터는 더 잘 챙겨드리겠습니다.
그래, 괜찮아요. 너도 지내보면 좋겠네요."
194,기타 괴롭힘 대화,"진짜 여기 차면 아프냐?
응.? 아프지 않을까.?
나는 없어서 내 껄 차볼 수가 없는데 니 꺼 한 번만 차보자.
굳이.그걸 해봐야 할 필요가 있을까?
아 궁금하다고. 여자는 이런 거 없잖아. 남자만 달린 거잖아
그치만. 정말 아픈데.
야 내가 차면 뭐 얼마나 쎄게 찬다고 진짜 남자새끼가 쫄보냐?
심하면.정말 문제가 생길 수도 있고.
어어 적당히 할테니까 가만히 있어. 진짜 딱 한 번만 차볼게.
.그치만.악!.","차
남자
문제","주인공은 차를 운전하는 사람으로, 이에 대한 관심을 가지고 있다.
주인공과 다른 사람여성 간의 상호작용을 통해 그의 감정을","오늘 날씨가 정말 좋네요? 가볍게 드라이브를 하실래요?
네, 내일도 잘 될 것 같아요. 내차는 어떤 거예요?
그럼, 그 차는 몇 년이 되셨어요?
? 어쩐 저는 여전히 한 달만 된 차야요.
어서! 한 달 만하면 새로운 차를 구입해야 할 때가죠. 하지만 지금은 충분히 잘 유지되면 됩니다.
맞습니다. 제가 매달 정비를 해주고 있습니다. 가방 안에는 항상 신발과 지갑까지 다 들어 있어요.
. 그리고 나중에 기름을 바르니 너무 잊지 말아주세요.
? 오, 고마워요. 다음에도 같이 드라이빙하겠습니다.
? 요즘에 도움이 되는 게 많으신가요?
. 약물이나 보험료 등 다양한 문제들이 많았는데, 이제는 주변에서 좋은 리뷰와 정보를 많이 얻고 있습니다.
.? 그래서 더 유용한 정보를 알려주시겠어요?
 . 예, 최근에는 전동차를 구하기 위한 정보도 많이 찾아보았답니다. 전동카트가  해졌다는 것을 알았습니다.
 . 전동 카트? ? 왜 가 높아졌나요?
? 그 이유는 환경"
195,협박 대화,"이대로 죽고 싶나? 아니면 내가 시키는 대로 할건가?
시키는 대로 하겠습니다 선생님
그럼 내가 얘기했던 걸 구해와
선생님 그건 구하기가 너무 어렵습니다. 다른 걸로 하면 안 될까요?
아니. 다른 건 안 돼. 그럼 죽음 뿐이야.
제발 다른 걸로 하겠습니다. 살려만 주십시오.
아니. 다른 선택지는 너에게 없어. 죽던가 그걸 구해온다.
네 알겠습니다. 그럼 구해오도록 하겠습니다.
좋아. 그럼 내일까지 구해오도록 해.
네. 내일 이 시간에 여기서 뵙겠습니다.","죽음
구하기
선택","수사관
형제자매
경찰서","형, 오늘도 잘 지내? 
잘 지냅니다. 하지만 어제 저녁에는 너무 힘들었어요. 
그럼 어떤 일이 있었죠?
우리 동생이 한 달 전부터 죽음을 고고 해요. 
     정말 안타깝네요. 어떻게 되셨나요?
아마도 신체적인 문제일 거야. 우리가 도와줄게. 
    네, 우리가 함께 가보겠습니다. 
감사합니다. 이제는 우리가 더 나아갈 때가 되었으면 좋겠어요."
196,기타 괴롭힘 대화,"오늘 그 블라우스 너무 잘 어울리던데요
 아. 네 감사합니다.
 근데 안에 속 나시가 비치니까 뭔가 아쉬웠어요
 네?
 블라우스에 속 나시가 옷태를 망친달까? 속 나시 입지 말고 그냥 이너웨어에 블라우스만 걸쳐 입으면 진짜 완벽할 것 같아서요
 아 그건. 신경 안쓰셔도 될 거 같아요. 제가 알아서 입을게요
 아 혹시라도 불쾌하셨으면 죄송합니다. 그냥 너무 예쁜 옷을 입고 오셨는데 제 눈에 그게 너무 아쉬워서 드린 말씀이니 오해는 하지마세요
 네.
 그리고 오늘 치마도 너무 잘 어울리셨는데 거기다 스타킹 컬러도 잘 매치하셨더라구요
 지금 뭐하시는거죠?
 오늘 너무 아름다우셨다고 말씀드리는겁니다. 다른 뜻은 없어요.","블라우스
나시
치마","친구, 동료
","어제 저녁에 나와 함께 가방을 입고 다녔는데, 그 블라우스를 어떻게 잘 자르고 싶으셨어요?
이 블라운츠는 정말 좋아서 구입했어요. 하지만 이 치마도 너무 아프니까, 오늘은 나와 같이 입고 싶었지만, 기분이 안 좋았던 것 같아요? 
네, 내 블라이스는 나와 비슷한 색상으로 입으면 좋겠네요. 내 블러스는 주변 사람들한테 많이  받았다고 하더라고요.
정말? 이 블러스가 어떤색인지 궁금해요? 
아니요, 그냥 일반적인 흰색일 뿐이에요. , 이 블레이크는 더 이상 입지 않겠습니다. 
  네, 그럼 나랑 오래 지내면 한 번 도전해 보세요."
197,직장 내 괴롭힘 대화,"여기 또 재떨이 날아다녀야 정신 차릴 인간 있구만
죄송합니다
으이구 꼴도 보기 싫어
말씀 주시면 다시 해보겠습니다
다시 한다고 제대로 하겠어? 허구헌날 알려달라고만 하고
죄송합니다
머리는 폼으로 달고 다니냐?
이번엔 잘 해보겠습니다 
시키는 이상을 해야지! 옆 부서 김대리한테 좀 봐봐! 잘하잖아
기대에 어긋나지 않게 노력해 보겠습니다","인간
죄송
부서","직원
상사부서장
회사","안녕하세요, 상사부사장님! 오늘 저녁이 잘되셨나요?
네, 감사합니다. 저도 잘되었습니다. 어제는 너무 힘들었는데요. 
아, 정말? 왜 고 힘든 하루였어요? 
회사에서 한 사람을 고용한 후에도 불구하고, 그 사람은 계속해서 문제를 일으키고 있습니다. 
     제가 도와드릴까요? 
     네가 도움이 되면 좋겠지만, 이 사람이 정말 큰 문제일까? 
  그 사람에게 진심으로 말하면 그들도 많이 바뀔 거예요. 
      하지만, 그들이 어떻게  할 것인지 모르죠. 
     그렇다면, 우리가 함께 해결책을 모색해보겠습니다. 
  맞아요. 제가 다른 사람들에게 이야기하려고 하니까요."
198,직장 내 괴롭힘 대화,"저 담달 중순에 연차를 쓰고싶어요
뭐라고? 회사 바쁜거 몰라?
부장님 저 올해 한번도 못 쉬었어요.
신입사원이 다 그렇지. 안돼
담달에 가족여행이라 부탁드려요
큰일도 아니네. 내년에 써
아버지 칠순기념 여행입니다
여행 후 회사 푹 쉬고싶어?
부장님 한번만 부탁드려요
바쁘니까 자리로 돌아가.","연차
회사
여행","신입사원
부장
","이달에는 얼마나 많은 여행을 가고 있어요?
최근 몇 달 동안 정말 많았네요, 주말마다 다른 곳으로 다니게 되더라고요. 
그럼 어떤 곳에서 가장 좋아서 갈까? 
요즘에만 해도 여름철이라 하늘과 바다를 보는 것이 좋죠. 특히 남해안으로 가면 더 좋겠어요.
네, 그거랑 맞아요. 남해 안치하마을이나 진해 등 지역은  좋은 거예요. 어떻게 지내셨나요?
  일과와 함께도 잘 풀었고, 친구들과도 많이 나눴답니다. 직장생활이 너무 힘들 때에도 이런 시간을 통해 피로를 줄일 수 있는 게 좋습니다.
  이해합니다. 연차도 많이 쌓아가면서 점점 더 편한 상황이 될 것 같아요. 현재 연차는인지 알고 계세요?
? 지금까지는 약 10년 정도 쌓았던데요. 이제는 더 많이 써보고 싶습니다."
199,협박 대화,"맞고싶지 않으면 똑바로 얘기해
잘못했어요 저는 아무것도 몰라요
모르면 알아야지
진짜 몰라요저는
그럼맞아야지
죄송해요 시간 주시면 제가 알아올게요
언제까지?
일주일만 주세요
그때 못알아오면 죽는다
네 알겠어요","시간
문제
살아","친구, 동료
학교","이날 시간이 너무 빠르게 지나고 있네. 주말에도 바쁘게 다니는 것 같아.
네, 정말로 시간이 빨라. 오늘도 오전부터   까지 바쁜 날이었다."
200,협박 대화,"야 민식아 너 몇달전에 빌린 내 돈 좀 다시 돌려줘야겠다. 내가 급해서 말이야
뭐 갑자기?? 나도 지금 쪼들린단 말이야. 세 달 뒤에 갚으면 안될까?
뭐? 내가 지금 다섯달 기다렸으면 많이 기다린 거 아니야? 서울 살면서 뭐가 쪼들려? 내가 빌려준 건 생각 안 하냐?
야 뭔 말을 그렇게 하냐 내가 그냥 가져 갔냐? 훔쳤어? 내가 다시 돌려준다고 했잖아
야 이게 미쳤냐? 니가 뭔데 언성을 높혀 뭐가 잘났다고!
참나 이거 본성 나오네. 나도 니 말고 빌릴 사람 많아. 그냥 빌린것도 아니고 이자 4씩 쳐준다고 했잖아.
됐고 두시간안에 빌린 돈 계좌로 입금안 하면 니 엄마 아빠 할아버지 동생까지 싹 다 농약 먹여서 죽여버릴거니까 생각 잘 해.
뭐? 이게 미쳤냐? 그러고도 너는 무사 할 거 같냐?
그럼 그냥 가족들이랑 영영 못 만나고 헤어지던가 
알았어. 조금만 더 시간을 줘 가족들은 건들지 말아줘.","돈
빌리기
엄마","친척친구
서울","엄마, 오늘도 잘 지내셨어요?
안녕하세요, 아빠와 함께 서울에서 여행을 다녀왔습니다.
정말? 그럼 어떻게 해요?
  우리 집으로 돌아온 후에 고민이 많았는데, 엄마, 이거 도움이 되겠죠?
  그럼 어떤 것이냐고?
? 저는 자산 관리를 하려고 하는데, 어떻게 하면 더 많은 돈을 모으게 될까요?
  어서 말해 주세요. 예전에는 제가 배운 것만큼은 잘 알고 있어요.
? 그리고 엄마가 지금 가지고 있는 주식이나 은행 계좌 등은 어떻게 활용하면 좋을까요?
그 는 저는 처음부터 이해하기 어려웠지만, 엄마가 가르쳐줘서 이제는 잘 했어요.
그럼 엄마가 나에게 한 가지 조언 하나 더 드릴게요.
   네, 뭐라고?
엄마가 만약 내가 돈을 빌려받으면, 어떻게  계획을 세우면 좋을까?
    을 세울 때 중요한 것은 정기적인 분배를 통해 꾸준히 내는 것이 중요하다는 거예요.
  맞아요. 그리고  기간을 미리 정하고, 비용을 줄일 방법 ? 
 기간"
201,협박 대화,"돈갚아
돈없는데 어떻게 갚아
남의돈을 떼먹고 넌 여기서 희희낙낙이야
니돈갚으면되잖아
죽을래.아님 저섬에 팔아버린다
.그럴 능력이나되니
당연하지 지금이라도 너 가만안둬
얼마되지도 않는 돈이구만
너 죽도록 패줄게.지금
나도 가만안있지","돈
가만
능력","상인상점 주인 

친구, 동료 

섬","어제는 정말 가만히  ? 
사실,     ...      ."
202,협박 대화,"내일까지 빚진 돈 갚으라고 했지?
죄송합니다 좀더 시간을 주세요 
딸이 공부 잘한다고?
제발 제딸만은. 틀림없이 이반주까지 꼭 갚겠습니다 
겁대가리없이. 이놈 않되겠네 
정말입니다 시간 좀 주시면 제가 꼭 갚겠습니다 
내일 니딸 학교로 애들 풀까?
아닙니다 제가 모레까지 시간 주시면 꼭 마련하겠습니다
약속지켜! 그렇지 않으면 재미없어
모레까지 꼭 갚겠습니다","빚
시간
집","부부, 아버지
집","어제 빚을 한 건 다   해? 
그건 나도 잘 안 된 것 같아. 
네가 지불 못했으면서 도와줘야 했는데, 이게 어떻게 될 거야?
내일 출근 후에 지불해 줄게. 
이번에는 더는 나에게는 빚은 없겠구나? 
  나중에 내가 주고 싶은 것도 있다. 
우리가 가르쳐줄 때마다 가르치는 거 다  할까? 
물론 말이야. 
그럼 우리가 하자. 
만약 나중에 다시 빚이 생겨서 고민한다면, 우리가 함께 생각해 보자."
203,갈취 대화,"야! 잠깐 일로 와봐! 야!! 안들리냐? 너 일로 와보라고
저요?
그래 너! 고개 그만 휘젓고 일로와
왜 그러세요.?
너네집 잘산다며? 너 노블레스 오블리주알지?
네.
아 뭐하냐 돈 안주고 
아. 여기요.
이거 내거 뺏은거 아니고 니가 준거다? 잘 쓸게","일
노블레스
돈","노블레스 노블레스
친구, 동료
집","네, 요즘 일이 정말 힘들어? 
그만큼 돈도 많이 벌고 있어. 
   는 많은 것만으로 충분한 건 아니라고 생각해?
하지만 가방 속에서 나온 거랑 비슷하다고 해. 
그럼 왜 게 만드는 거야? 
    이건 내일부터 일자리 찾을 때면 알겠지? 
맞아. 잘 하길 바란다. 
  일자리를 더 많이 찾아볼까? 
     네. 다가오는 주말에는 다른 곳에 가서 구직 활동할거야. 
     잘 할 수 있을 것 같아."
204,직장 내 괴롭힘 대화,"김대리.
네 과장님. 무슨 일로 부르셨습니까?
어제 신청했던 휴가 안 될 것 같네
네? 저는 요건에 다 맞춰서 신청했는데요.
그 날은 내가 휴가를 내야할 것 같아서 김대리 휴가는 반려됐어
과장님 그 날 안 쉬시는 날로 알고 있었는데요.
내가 갑자기 일이 생겨서 쉬어야 할 것 같으니 김대리는 회사에 남게
과장님. 저도 그 날 일이 있어 미리 신청한 휴가입니다. 곤란합니다.
뭐라고? 네가 과장이야? 내가 먼저지 네가 먼저야?
과장님 너무하십니다.","김대리
휴가
일
회사","대리원
대리, 과장
","이달 말부터 휴가를 가는 거예요? 
 네, 나도 같은 날에 가고 싶어요. 왜 그런가요?
아, 그날에는 회의가 있어서. 회사에서 중요한 업무를 처리해야 해요.
오, 정말? 어떤 업무인지 알려주세요.
우리 회사의 새로운 프로젝트가 진행 중이니까. 그에 대한 보고회를 준비하고 있어.
? 그리고 그 에 대해 기존 고객들과 협상을 하게 될 것 같아요.
. 그럼 그 기간 동안 어떻게 다루면 좋을까요?
일과와 휴식을 잘 균형 있게 해야겠죠. 충분한도 필요하잖아.
  맞습니다. 내일까지는 계속해서 업무만 하고, 다음날부터는 조금 더 쉬면서 가면 되겠습니다.
.  .           . 
고마워. 나중에 연락드리자. 
. , !"
